theta_cm_deg,fresco_mb_sr,scaled_mb_sr
80.5,0.001594,0.0001904801867
80.6,0.001609,0.0001922726602
80.7,0.001623,0.0001939456355
80.8,0.001638,0.0001957381091
80.9,0.001651,0.0001972915861
81,0.001665,0.0001989645614
81.1,0.001677,0.0002003985402
81.2,0.00169,0.0002019520173
81.3,0.001702,0.0002033859961
81.4,0.001713,0.0002047004767
81.5,0.001724,0.0002060149573
81.6,0.001734,0.0002072099396
81.7,0.001743,0.0002082854237
81.8,0.001752,0.0002093609079
81.9,0.001761,0.000210436392
82,0.001769,0.0002113923779
82.1,0.001776,0.0002122288655
82.2,0.001782,0.0002129458549
82.3,0.001788,0.0002136628443
82.4,0.001794,0.0002143798337
82.5,0.001798,0.0002148578267
82.6,0.001802,0.0002153358196
82.7,0.001805,0.0002156943143
82.8,0.001808,0.000216052809
82.9,0.00181,0.0002162918055
83,0.001811,0.0002164113037
83.1,0.001812,0.000216530802
83.2,0.001812,0.000216530802
83.3,0.001812,0.000216530802
83.4,0.00181,0.0002162918055
83.5,0.001809,0.0002161723073
83.6,0.001806,0.0002158138126
83.7,0.001804,0.0002155748161
83.8,0.0018,0.0002150968231
83.9,0.001796,0.0002146188302
84,0.001792,0.0002141408373
84.1,0.001787,0.0002135433461
84.2,0.001782,0.0002129458549
84.3,0.001776,0.0002122288655
84.4,0.00177,0.0002115118761
84.5,0.001764,0.0002107948867
84.6,0.001757,0.000209958399
84.7,0.00175,0.0002091219114
84.8,0.001743,0.0002082854237
84.9,0.001736,0.0002074489361
85,0.001728,0.0002064929502
85.1,0.00172,0.0002055369643
85.2,0.001712,0.0002045809785
85.3,0.001704,0.0002036249926
85.4,0.001696,0.0002026690067
85.5,0.001687,0.0002015935226
85.6,0.001679,0.0002006375367
85.7,0.001671,0.0001996815508
85.8,0.001662,0.0001986060667
85.9,0.001654,0.0001976500808
86,0.001646,0.0001966940949
